time_ms,ax,ay,az
1,-0.0,-0.0,-0.0
23,-0.0,-0.0,-0.0
47,-0.0,-0.0,-0.0
72,-0.0,-0.0,-0.0
97,-0.0,-0.0,-0.0
125,-0.0,-0.0,-0.0
150,-0.0,-0.0,-0.0
174,-0.0,-0.0,-0.0
199,-0.0,-0.0,-0.0
223,-0.0,-0.0,-0.0
248,-0.0,-0.0,-0.0
273,-0.0,-0.0,-0.0
297,-0.0,-0.0,-0.0
322,-0.0,-0.0,-0.0
346,-0.0,-0.0,-0.0
371,-0.0,-0.0,-0.0
399,-0.0,-0.0,-0.0
424,-0.0,-0.0,-0.0
448,-0.0,-0.0,-0.0
473,-0.0,-0.0,-0.0
498,-0.0,-0.0,-0.0
523,-0.0,-0.0,-0.0
547,-0.0,-0.0,-0.0
572,-0.0,-0.0,-0.0
596,-0.0,-0.0,-0.0
621,-0.0,-0.0,-0.0
650,-0.0,-0.0,-0.0
674,-0.0,-0.0,-0.0
699,-0.0,-0.0,-0.0
723,-0.0,-0.0,-0.0
748,-0.0,-0.0,-0.0
772,-0.0,-0.0,-0.0
797,-0.0,-0.0,-0.0
821,-0.0,-0.0,-0.0
846,-0.0,-0.0,-0.0
871,-0.0,-0.0,-0.0
899,-0.0,-0.0,-0.0
924,-0.0,-0.0,-0.0
948,-0.0,-0.0,-0.0
973,-0.0,-0.0,-0.0
998,-0.0,-0.0,-0.0
1022,-0.0,-0.0,-0.0
1047,-0.0,-0.0,-0.0
1071,-0.0,-0.0,-0.0
1096,-0.0,-0.0,-0.0
1120,-0.0,-0.0,-0.0
1149,-0.0,-0.0,-0.0
1174,-0.0,-0.0,-0.0
1198,-0.0,-0.0,-0.0
1223,-0.0,-0.0,-0.0
1248,-0.0,-0.0,-0.0
1272,-0.0,-0.0,-0.0
1297,-0.0,-0.0,-0.0
1321,-0.0,-0.0,-0.0
1346,-0.0,-0.0,-0.0
1370,-0.0,-0.0,-0.0
1399,-0.0,-0.0,-0.0
1424,-0.0,-0.0,-0.0
1448,-0.0,-0.0,-0.0
1473,-0.0,-0.0,-0.0
1497,-0.0,-0.0,-0.0
1522,-0.0,-0.0,-0.0
1546,-0.0,-0.0,-0.0
1571,-0.0,-0.0,-0.0
1596,-0.0,-0.0,-0.0
1620,-0.0,-0.0,-0.0
1645,-0.0,-0.0,-0.0
1673,-0.0,-0.0,-0.0
1698,-0.0,-0.0,-0.0
1723,-0.0,-0.0,-0.0
1747,-0.0,-0.0,-0.0
1772,-0.0,-0.0,-0.0
1797,-0.0,-0.0,-0.0
1821,-0.0,-0.0,-0.0
1845,-0.0,-0.0,-0.0
1870,-0.0,-0.0,-0.0
1894,-0.0,-0.0,-0.0
1923,-0.0,-0.0,-0.0
1948,-0.0,-0.0,-0.0
1973,-0.0,-0.0,-0.0
1997,-0.0,-0.0,-0.0
2022,-0.0,-0.0,-0.0
2046,-0.0,-0.0,-0.0
2071,-0.0,-0.0,-0.0
2095,-0.0,-0.0,-0.0
2120,-0.0,-0.0,-0.0
2144,-0.0,-0.0,-0.0
2173,-0.0,-0.0,-0.0
2198,-0.0,-0.0,-0.0
2223,-0.0,-0.0,-0.0
2249,-0.0,-0.0,-0.0
2272,-0.0,-0.0,-0.0
2296,-0.0,-0.0,-0.0
2321,-0.0,-0.0,-0.0
2345,-0.0,-0.0,-0.0
2370,-0.0,-0.0,-0.0
2394,-0.0,-0.0,-0.0
2423,-0.0,-0.0,-0.0
2448,-0.0,-0.0,-0.0
2472,-0.0,-0.0,-0.0
2497,-0.0,-0.0,-0.0
2521,-0.0,-0.0,-0.0
2546,-0.0,-0.0,-0.0
2570,-0.0,-0.0,-0.0
2595,-0.0,-0.0,-0.0
2620,-0.0,-0.0,-0.0
2644,-0.0,-0.0,-0.0
2673,-0.0,-0.0,-0.0
2697,-0.0,-0.0,-0.0
2723,-0.0,-0.0,-0.0
2747,-0.0,-0.0,-0.0
2771,-0.0,-0.0,-0.0
2795,-0.0,-0.0,-0.0
2820,-0.0,-0.0,-0.0
2845,-0.0,-0.0,-0.0
2870,-0.0,-0.0,-0.0
2894,-0.0,-0.0,-0.0
2919,-0.0,-0.0,-0.0
2947,-0.0,-0.0,-0.0
2972,-0.0,-0.0,-0.0
2997,-0.0,-0.0,-0.0
3021,-0.0,-0.0,-0.0
3046,-0.0,-0.0,-0.0
3070,-0.0,-0.0,-0.0
3095,-0.0,-0.0,-0.0
3119,-0.0,-0.0,-0.0
3144,-0.0,-0.0,-0.0
3168,-0.0,-0.0,-0.0
3197,-0.0,-0.0,-0.0
3222,-0.0,-0.0,-0.0
3246,-0.0,-0.0,-0.0
3271,-0.0,-0.0,-0.0
3295,-0.0,-0.0,-0.0
3320,-0.0,-0.0,-0.0
3344,-0.0,-0.0,-0.0
3369,-0.0,-0.0,-0.0
3393,-0.0,-0.0,-0.0
3418,-0.0,-0.0,-0.0
3447,-0.0,-0.0,-0.0
3472,-0.0,-0.0,-0.0
3496,-0.0,-0.0,-0.0
3521,-0.0,-0.0,-0.0
3545,-0.0,-0.0,-0.0
3570,-0.0,-0.0,-0.0
3594,-0.0,-0.0,-0.0
3619,-0.0,-0.0,-0.0
3643,-0.0,-0.0,-0.0
3668,-0.0,-0.0,-0.0
3696,-0.0,-0.0,-0.0
3721,-0.0,-0.0,-0.0
3746,-0.0,-0.0,-0.0
3770,-0.0,-0.0,-0.0
3795,-0.0,-0.0,-0.0
3820,-0.0,-0.0,-0.0
3844,-0.0,-0.0,-0.0
3869,-0.0,-0.0,-0.0
3893,-0.0,-0.0,-0.0
3919,-0.0,-0.0,-0.0
3947,-0.0,-0.0,-0.0
3971,-0.0,-0.0,-0.0
3996,-0.0,-0.0,-0.0
4020,-0.0,-0.0,-0.0
4045,-0.0,-0.0,-0.0
4070,-0.0,-0.0,-0.0
4094,-0.0,-0.0,-0.0
4119,-0.0,-0.0,-0.0
4143,-0.0,-0.0,-0.0
4168,-0.0,-0.0,-0.0
4192,-0.0,-0.0,-0.0
4221,-0.0,-0.0,-0.0
4246,-0.0,-0.0,-0.0
4270,-0.0,-0.0,-0.0
4295,-0.0,-0.0,-0.0
4320,-0.0,-0.0,-0.0
4344,-0.0,-0.0,-0.0
4368,-0.0,-0.0,-0.0
4393,-0.0,-0.0,-0.0
4418,-0.0,-0.0,-0.0
4442,-0.0,-0.0,-0.0
4471,-0.0,-0.0,-0.0
4496,-0.0,-0.0,-0.0
4520,-0.0,-0.0,-0.0
4544,-0.0,-0.0,-0.0
4569,-0.0,-0.0,-0.0
4593,-0.0,-0.0,-0.0
4618,-0.0,-0.0,-0.0
4643,-0.0,-0.0,-0.0
4668,-0.0,-0.0,-0.0
4692,-0.0,-0.0,-0.0
4721,-0.0,-0.0,-0.0
4745,-0.0,-0.0,-0.0
4770,-0.0,-0.0,-0.0
4794,-0.0,-0.0,-0.0
4819,-0.0,-0.0,-0.0
4843,-0.0,-0.0,-0.0
4868,-0.0,-0.0,-0.0
4892,-0.0,-0.0,-0.0
4917,-0.0,-0.0,-0.0
4942,-0.0,-0.0,-0.0
4971,-0.0,-0.0,-0.0
4995,-0.0,-0.0,-0.0
5020,-0.0,-0.0,-0.0
5044,-0.0,-0.0,-0.0
5069,-0.0,-0.0,-0.0
5093,-0.0,-0.0,-0.0
5118,-0.0,-0.0,-0.0
5142,-0.0,-0.0,-0.0
5167,-0.0,-0.0,-0.0
5191,-0.0,-0.0,-0.0
5220,-0.0,-0.0,-0.0
5245,-0.0,-0.0,-0.0
5269,-0.0,-0.0,-0.0
5294,-0.0,-0.0,-0.0
5318,-0.0,-0.0,-0.0
5343,-0.0,-0.0,-0.0
5368,-0.0,-0.0,-0.0
5392,-0.0,-0.0,-0.0
5417,-0.0,-0.0,-0.0
5441,-0.0,-0.0,-0.0
5466,-0.0,-0.0,-0.0
5494,-0.0,-0.0,-0.0
5519,-0.0,-0.0,-0.0
5544,-0.0,-0.0,-0.0
5569,-0.0,-0.0,-0.0
5593,-0.0,-0.0,-0.0
5617,-0.0,-0.0,-0.0
5642,-0.0,-0.0,-0.0
5667,-0.0,-0.0,-0.0
5691,-0.0,-0.0,-0.0
5716,-0.0,-0.0,-0.0
5744,-0.0,-0.0,-0.0
5769,-0.0,-0.0,-0.0
5793,-0.0,-0.0,-0.0
5818,-0.0,-0.0,-0.0
5843,-0.0,-0.0,-0.0
5868,-0.0,-0.0,-0.0
5892,-0.0,-0.0,-0.0
5916,-0.0,-0.0,-0.0
