time_ms,ax,ay,az
2,0.123,0.038,0.939
8,0.116,0.044,0.947
14,0.115,0.042,0.946
20,0.119,0.05,0.946
26,0.118,0.042,0.945
33,0.135,0.061,0.957
39,0.12,0.047,0.943
45,0.113,0.044,0.949
51,0.122,0.042,0.954
57,0.127,0.043,0.948
63,0.119,0.043,0.946
69,0.119,0.053,0.947
75,0.126,0.046,0.944
81,0.122,0.045,0.945
87,0.12,0.048,0.944
93,0.123,0.048,0.947
99,0.123,0.042,0.95
105,0.121,0.045,0.951
116,0.118,0.049,0.946
140,0.125,0.051,0.948
161,0.107,0.042,0.926
185,0.103,0.035,0.976
205,0.133,0.045,0.987
230,0.114,0.033,0.932
250,0.161,0.068,1.073
271,0.104,0.044,0.958
296,0.109,0.04,0.95
317,0.106,0.039,0.958
341,0.102,0.044,0.94
361,0.094,0.023,0.938
386,0.113,0.043,0.939
406,0.102,0.041,0.948
431,0.106,0.034,0.945
451,0.108,0.037,0.948
476,0.129,0.068,0.945
496,0.105,0.037,0.971
521,0.115,0.05,0.948
542,0.105,0.056,0.952
566,0.131,0.046,0.941
586,0.1,0.072,0.926
611,0.097,0.061,0.946
631,0.143,0.029,0.939
656,0.102,0.073,0.924
676,0.128,0.036,0.955
701,0.111,0.058,0.948
722,0.137,0.036,0.948
746,0.12,0.041,0.944
766,0.121,0.047,0.941
791,0.116,0.042,0.952
812,0.114,0.037,0.953
836,0.125,0.041,0.949
857,0.122,0.043,0.951
881,0.123,0.045,0.948
902,0.121,0.043,0.956
926,0.122,0.048,0.945
947,0.123,0.049,0.95
971,0.124,0.042,0.94
992,0.12,0.041,0.949
1016,0.116,0.043,0.942
1037,0.122,0.049,0.954
1061,0.119,0.049,0.958
1082,0.126,0.042,0.952
1102,0.118,0.046,0.941
1127,0.124,0.043,0.95
1147,0.126,0.047,0.95
1172,0.119,0.05,0.945
1192,0.121,0.049,0.946
1217,0.122,0.044,0.952
1238,0.123,0.053,0.95
1262,0.118,0.045,0.942
1283,0.121,0.049,0.965
1307,0.119,0.043,0.927
1328,0.121,0.047,0.967
1352,0.119,0.048,0.938
1373,0.117,0.05,0.953
1397,0.119,0.043,0.943
1418,0.115,0.039,0.946
1442,0.117,0.041,0.951
1463,0.128,0.045,0.941
1487,0.116,0.048,0.949
1508,0.12,0.049,0.956
1532,0.119,0.045,0.951
1553,0.123,0.051,0.954
1577,0.123,0.044,0.948
1598,0.118,0.048,0.945
1622,0.121,0.045,0.943
1643,0.117,0.045,0.953
1667,0.124,0.051,0.955
1688,0.117,0.049,0.95
1712,0.122,0.042,0.941
1733,0.121,0.042,0.954
1758,0.124,0.051,0.953
1778,0.118,0.043,0.958
1803,0.127,0.049,0.949
1823,0.122,0.045,0.966
1848,0.108,0.038,0.939
1868,0.125,0.043,0.94
1893,0.107,0.046,0.931
1915,0.131,0.054,0.954
1938,0.125,0.046,0.951
1958,0.12,0.043,0.944
1983,0.121,0.05,0.946
2004,0.119,0.045,0.949
2024,0.122,0.044,0.942
2048,0.122,0.043,0.956
2069,0.121,0.044,0.955
2093,0.118,0.041,0.955
2114,0.123,0.041,0.954
2139,0.128,0.047,0.944
2159,0.116,0.047,0.956
2184,0.12,0.05,0.956
2204,0.125,0.04,0.952
2229,0.112,0.043,0.938
2249,0.117,0.042,0.955
2274,0.117,0.04,0.948
2295,0.122,0.037,0.958
2319,0.12,0.042,0.935
2339,0.122,0.055,0.97
2364,0.124,0.047,0.925
2384,0.119,0.043,0.958
2409,0.113,0.042,0.938
2429,0.118,0.048,0.959
2454,0.118,0.042,0.943
2474,0.118,0.047,0.941
2499,0.121,0.048,0.959
2520,0.115,0.046,0.955
2544,0.118,0.041,0.955
2565,0.087,0.011,0.947
2589,0.118,0.042,0.948
2610,0.119,0.041,0.943
2634,0.103,0.033,0.953
2655,0.127,0.048,0.932
2679,0.114,0.04,0.946
2700,0.117,0.047,0.947
2725,0.118,0.042,0.951
2745,0.118,0.046,0.953
2769,0.109,0.037,0.955
2790,0.103,0.017,0.942
2814,0.127,0.058,0.954
2835,0.114,0.04,0.948
2859,0.126,0.055,0.95
2880,0.115,0.046,0.95
2900,0.112,0.045,0.964
2925,0.117,0.051,0.943
2946,0.106,0.04,0.953
2970,0.118,0.044,0.948
2990,0.108,0.047,0.952
3015,0.112,0.044,0.942
3036,0.114,0.044,0.951
3060,0.113,0.049,0.947
3081,0.112,0.044,0.952
3105,0.114,0.042,0.947
3126,0.114,0.044,0.959
3150,0.117,0.045,0.95
3171,0.112,0.047,0.949
3195,0.105,0.037,0.948
3216,0.106,0.034,0.952
3240,0.104,0.039,0.953
3261,0.099,0.039,0.943
3285,0.108,0.035,0.967
3306,0.111,0.051,0.954
3331,0.121,0.043,0.938
3351,0.103,0.042,0.944
3375,0.106,0.043,0.948
3396,0.114,0.04,0.944
3420,0.112,0.041,0.947
3441,0.114,0.04,0.955
3466,0.109,0.035,0.958
3486,0.113,0.037,0.96
3511,0.097,0.025,0.959
3531,0.094,0.019,0.948
3556,0.109,0.033,0.955
3577,0.101,0.022,0.951
3601,0.093,0.023,0.95
3621,0.105,0.028,0.949
3646,0.102,0.008,0.955
3666,0.099,0.024,0.951
3691,0.099,0.022,0.951
3711,0.098,0.026,0.948
3736,0.098,0.022,0.952
3756,0.106,0.02,0.951
3778,0.087,0.015,0.954
3802,0.101,0.033,0.952
3822,0.094,0.023,0.949
3846,0.103,0.033,0.956
3868,0.095,0.014,0.952
3892,0.105,0.031,0.953
3913,0.099,0.024,0.949
3937,0.105,0.027,0.959
3957,0.1,0.023,0.949
3982,0.105,0.029,0.962
4003,0.097,0.021,0.95
4027,0.106,0.029,0.96
4047,0.102,0.021,0.953
4072,0.102,0.022,0.947
4092,0.101,0.021,0.951
4117,0.102,0.019,0.945
4137,0.104,0.021,0.949
4162,0.101,0.026,0.952
4183,0.1,0.027,0.95
4207,0.108,0.025,0.95
4227,0.101,0.021,0.951
4252,0.102,0.032,0.948
4272,0.104,0.024,0.962
4297,0.107,0.034,0.948
4318,0.097,0.028,0.958
4342,0.102,0.027,0.946
4363,0.108,0.021,0.953
4387,0.104,0.029,0.942
4408,0.098,0.021,0.953
4432,0.107,0.031,0.949
4453,0.098,0.025,0.947
4478,0.099,0.029,0.948
4498,0.102,0.033,0.952
4519,0.106,0.026,0.955
4543,0.099,0.03,0.95
4563,0.095,0.023,0.949
4588,0.101,0.031,0.951
4609,0.097,0.02,0.949
4634,0.106,0.025,0.953
4654,0.1,0.027,0.951
4678,0.104,0.03,0.952
4698,0.1,0.028,0.95
4723,0.105,0.028,0.948
4744,0.113,0.037,0.953
4768,0.112,0.04,0.938
