time_ms,ax,ay,az
12,-0.0,-0.0,-0.0
37,-0.0,-0.0,-0.0
62,-0.0,-0.0,-0.0
86,-0.0,-0.0,-0.0
111,-0.0,-0.0,-0.0
136,-0.0,-0.0,-0.0
161,-0.0,-0.0,-0.0
185,-0.0,-0.0,-0.0
209,-0.0,-0.0,-0.0
238,-0.0,-0.0,-0.0
262,-0.0,-0.0,-0.0
287,-0.0,-0.0,-0.0
312,-0.0,-0.0,-0.0
336,-0.0,-0.0,-0.0
361,-0.0,-0.0,-0.0
386,-0.0,-0.0,-0.0
410,-0.0,-0.0,-0.0
435,-0.0,-0.0,-0.0
459,-0.0,-0.0,-0.0
484,-0.0,-0.0,-0.0
512,-0.0,-0.0,-0.0
537,-0.0,-0.0,-0.0
562,-0.0,-0.0,-0.0
586,-0.0,-0.0,-0.0
611,-0.0,-0.0,-0.0
635,-0.0,-0.0,-0.0
660,-0.0,-0.0,-0.0
684,-0.0,-0.0,-0.0
709,-0.0,-0.0,-0.0
734,-0.0,-0.0,-0.0
762,-0.0,-0.0,-0.0
787,-0.0,-0.0,-0.0
812,-0.0,-0.0,-0.0
836,-0.0,-0.0,-0.0
861,-0.0,-0.0,-0.0
885,-0.0,-0.0,-0.0
910,-0.0,-0.0,-0.0
934,-0.0,-0.0,-0.0
959,-0.0,-0.0,-0.0
983,-0.0,-0.0,-0.0
1012,-0.0,-0.0,-0.0
1037,-0.0,-0.0,-0.0
1061,-0.0,-0.0,-0.0
1086,-0.0,-0.0,-0.0
1111,-0.0,-0.0,-0.0
1135,-0.0,-0.0,-0.0
1160,-0.0,-0.0,-0.0
1184,-0.0,-0.0,-0.0
1209,-0.0,-0.0,-0.0
1233,-0.0,-0.0,-0.0
1262,-0.0,-0.0,-0.0
1286,-0.0,-0.0,-0.0
1311,-0.0,-0.0,-0.0
1336,-0.0,-0.0,-0.0
1361,-0.0,-0.0,-0.0
1385,-0.0,-0.0,-0.0
1410,-0.0,-0.0,-0.0
1434,-0.0,-0.0,-0.0
1459,-0.0,-0.0,-0.0
1483,-0.0,-0.0,-0.0
1512,-0.0,-0.0,-0.0
1536,-0.0,-0.0,-0.0
1561,-0.0,-0.0,-0.0
1585,-0.0,-0.0,-0.0
1610,-0.0,-0.0,-0.0
1635,-0.0,-0.0,-0.0
1659,-0.0,-0.0,-0.0
1684,-0.0,-0.0,-0.0
1708,-0.0,-0.0,-0.0
1733,-0.0,-0.0,-0.0
1757,-0.0,-0.0,-0.0
1786,-0.0,-0.0,-0.0
1811,-0.0,-0.0,-0.0
1835,-0.0,-0.0,-0.0
1860,-0.0,-0.0,-0.0
1885,-0.0,-0.0,-0.0
1909,-0.0,-0.0,-0.0
1934,-0.0,-0.0,-0.0
1958,-0.0,-0.0,-0.0
1983,-0.0,-0.0,-0.0
2008,-0.0,-0.0,-0.0
2036,-0.0,-0.0,-0.0
2061,-0.0,-0.0,-0.0
2085,-0.0,-0.0,-0.0
2110,-0.0,-0.0,-0.0
2134,-0.0,-0.0,-0.0
2159,-0.0,-0.0,-0.0
2184,-0.0,-0.0,-0.0
2208,-0.0,-0.0,-0.0
2232,-0.0,-0.0,-0.0
2257,-0.0,-0.0,-0.0
2286,-0.0,-0.0,-0.0
2311,-0.0,-0.0,-0.0
2335,-0.0,-0.0,-0.0
2360,-0.0,-0.0,-0.0
2384,-0.0,-0.0,-0.0
2409,-0.0,-0.0,-0.0
2434,-0.0,-0.0,-0.0
2458,-0.0,-0.0,-0.0
2482,-0.0,-0.0,-0.0
2507,-0.0,-0.0,-0.0
