time_ms,ax,ay,az
8,0.26,0.126,0.599
33,0.136,0.386,1.057
53,0.201,0.19,0.929
74,0.235,0.17,1.003
98,0.11,0.02,1.035
119,-0.009,0.104,0.89
143,0.708,0.088,1.18
164,0.257,-0.093,1.007
188,0.294,0.082,0.895
209,-0.016,0.013,0.797
233,-0.02,-0.059,0.606
258,-0.124,-0.072,0.508
278,0.378,0.061,0.91
303,0.328,0.133,0.912
323,0.424,0.279,0.94
344,0.037,0.151,0.877
368,-0.683,0.147,0.872
389,0.095,0.082,0.852
409,1.428,0.196,1.515
434,0.581,-0.238,0.975
458,0.818,-0.159,0.221
479,0.222,-0.014,0.863
504,-0.048,0.305,1.404
524,0.09,0.081,0.877
549,0.215,0.026,0.929
569,0.192,0.051,0.932
590,0.227,0.039,0.887
614,0.18,0.058,0.898
635,0.166,0.046,0.969
655,0.154,0.041,0.989
680,0.18,0.042,0.944
700,0.179,0.045,0.948
721,0.175,0.042,0.94
745,0.21,0.12,1.02
766,0.121,0.109,0.85
786,0.326,-0.059,1.086
811,0.208,0.047,0.937
831,0.19,0.039,0.938
852,0.204,0.043,0.927
877,0.207,0.042,0.936
897,0.204,0.043,0.926
917,0.197,0.042,0.947
942,0.189,0.036,0.945
962,0.204,0.036,0.926
983,0.202,0.042,0.931
1008,0.201,0.044,0.925
1028,0.205,0.055,0.943
1048,0.192,0.045,0.941
1073,0.187,0.041,0.938
1093,0.194,0.041,0.938
1114,0.197,0.036,0.935
1139,0.201,0.04,0.939
1159,0.193,0.044,0.933
1184,0.193,0.038,0.938
1204,0.187,0.037,0.934
1225,0.193,0.04,0.94
1249,0.192,0.036,0.948
1269,0.187,0.039,0.933
1290,0.197,0.046,0.932
1315,0.163,0.042,0.992
1335,0.085,0.2,0.89
1356,-0.08,0.226,0.946
1380,0.536,-0.032,1.146
1405,0.465,-0.005,0.509
1426,0.183,-0.198,0.958
1450,0.306,-0.086,0.656
1470,0.143,0.072,0.6
1495,-0.05,-0.029,0.867
1515,0.126,0.071,0.978
1540,0.057,0.075,0.521
1561,0.223,0.015,0.895
1581,0.205,0.045,0.927
1606,0.196,0.043,0.948
1626,0.203,0.047,0.935
1647,0.201,0.044,0.937
1671,0.209,0.042,0.93
1692,0.199,0.04,0.947
1712,0.208,0.046,0.929
1736,0.197,0.051,0.939
1757,0.198,0.045,0.945
1777,0.316,0.086,0.978
1802,0.206,0.04,0.929
1822,0.204,0.031,0.95
1843,0.218,0.05,0.932
1867,0.211,0.03,0.927
1888,0.176,0.055,0.945
1908,0.092,0.057,0.862
1933,0.335,0.109,1.009
1953,0.188,0.109,0.925
1975,0.262,0.004,0.968
1999,0.189,0.016,0.945
2019,0.239,-0.013,0.875
2044,0.118,0.118,0.932
2064,0.1,-0.015,0.737
2089,0.196,0.092,0.869
2109,0.259,-0.032,0.908
2130,0.095,0.023,1.11
2154,0.157,0.053,0.974
2175,0.171,0.037,0.953
2195,0.269,0.113,0.95
2220,0.245,0.116,0.925
2240,0.019,0.006,0.986
2261,0.189,0.04,0.925
2285,0.193,0.043,0.937
2307,0.198,0.039,0.931
2327,0.175,0.062,0.896
2351,0.129,0.08,0.952
2371,0.187,0.044,0.944
2392,0.183,0.041,0.939
2416,0.189,0.04,0.928
2437,0.185,0.044,0.929
2461,0.191,0.041,0.933
2482,0.182,0.04,0.939
2502,0.183,0.042,0.94
2527,0.189,0.044,0.922
2547,0.183,0.041,0.933
2568,0.184,0.046,0.926
2593,0.188,0.049,0.932
2613,0.196,0.041,0.936
2633,0.19,0.042,0.947
2658,0.183,0.041,0.937
2679,0.186,0.042,0.939
2699,0.202,0.03,0.939
2723,0.172,0.044,0.955
2744,0.191,0.043,0.921
2764,0.188,0.042,0.931
2789,0.182,0.042,0.912
2810,0.175,0.051,1.049
2830,0.209,0.037,0.841
2855,0.208,0.031,0.953
2875,0.185,0.044,0.914
2896,0.173,0.043,0.965
2920,0.193,0.042,0.92
2941,0.181,0.042,0.932
2962,0.171,0.042,0.977
2986,0.178,0.04,0.935
3006,0.205,0.04,0.904
3027,0.161,0.044,0.944
3051,0.169,0.045,0.941
3072,0.179,0.04,0.927
3092,0.156,0.042,0.969
3117,0.177,0.043,0.946
3137,0.164,0.046,0.939
3158,0.315,0.082,0.936
3182,0.228,0.08,0.938
3203,0.206,-0.049,0.919
3223,0.15,0.089,0.953
3248,0.152,0.047,0.949
3268,0.253,0.06,0.927
3293,0.062,0.228,1.065
3313,0.218,0.025,0.934
3334,0.182,0.035,0.932
3359,0.182,0.04,0.942
3379,0.186,0.042,0.939
3399,0.174,0.045,0.952
3424,0.18,0.042,0.942
3444,0.258,0.054,0.845
3465,0.107,-0.04,0.954
3489,0.208,0.03,1.012
3510,0.183,-0.02,0.834
3534,0.144,0.009,0.935
3555,0.166,0.044,0.958
3575,0.18,0.046,0.946
3600,0.181,0.043,0.949
3620,0.164,0.042,0.973
3641,0.181,0.047,0.931
3665,0.186,0.045,0.931
3686,0.181,0.042,0.936
3707,0.183,0.038,0.947
3731,0.175,0.052,0.946
3752,0.159,0.064,0.935
3772,0.191,0.038,0.945
3797,0.217,0.019,0.952
3817,0.193,0.039,0.933
3838,0.181,0.041,0.951
3862,0.154,0.07,0.943
3883,0.218,0.032,0.926
3903,0.201,0.041,0.935
3928,0.19,0.047,0.945
3948,0.198,0.038,0.941
3969,0.194,0.048,0.954
3993,0.222,0.022,0.947
4014,0.2,0.063,0.911
4034,0.219,0.036,0.944
4059,0.194,0.057,0.943
4079,0.237,0.005,0.912
4100,0.236,0.034,0.977
4125,0.218,0.041,0.932
4145,0.222,0.04,0.917
4165,0.212,0.041,0.936
4190,0.214,0.049,0.931
4211,0.214,0.046,0.923
4231,0.214,0.042,0.942
4256,0.207,0.043,0.919
4277,0.219,0.04,0.923
4296,0.218,0.047,0.926
4321,0.207,0.048,0.952
4342,0.217,0.028,0.95
4362,0.245,0.031,0.918
4386,-0.048,0.142,1.048
4411,0.77,-0.077,1.847
4431,0.058,-0.051,0.48
4456,0.229,0.042,0.907
4477,0.213,0.037,0.961
4497,0.195,0.05,0.864
4522,0.266,0.054,0.993
4542,0.249,0.093,0.84
4563,0.251,0.029,0.905
4587,0.209,0.047,0.933
4608,0.22,0.042,0.929
4628,0.223,0.043,0.922
4653,0.219,0.037,0.934
4673,0.225,0.04,0.932
4695,0.219,0.042,0.943
4718,0.217,0.041,0.926
4739,0.214,0.043,0.937
4760,0.22,0.044,0.935
4784,0.218,0.038,0.926
4805,0.226,0.036,0.935
4825,0.224,0.041,0.927
4849,0.222,0.048,0.931
4870,0.219,0.044,0.926
4891,0.225,0.039,0.93
4915,0.22,0.042,0.925
4935,0.218,0.037,0.936
4956,0.22,0.035,0.926
4980,0.22,0.043,0.937
5001,0.222,0.033,0.938
5022,0.214,0.041,0.927
5046,0.218,0.042,0.935
5066,0.233,0.041,0.925
5087,0.218,0.037,0.937
5111,0.214,0.04,0.929
5132,0.215,0.041,0.944
5152,0.225,0.036,0.937
5177,0.231,0.046,0.918
5197,0.229,0.043,0.925
5218,0.219,0.041,0.932
5242,0.219,0.045,0.93
5263,0.22,0.034,0.93
5283,0.215,0.042,0.938
5308,0.215,0.036,0.932
5328,0.222,0.039,0.931
5349,0.223,0.048,0.942
5373,0.217,0.044,0.939
5394,0.221,0.043,0.925
5414,0.221,0.042,0.938
5439,0.216,0.04,0.928
5460,0.22,0.04,0.933
5480,0.217,0.046,0.936
5504,0.224,0.041,0.93
5525,0.221,0.039,0.94
5546,0.219,0.033,0.924
5570,0.22,0.036,0.939
5591,0.218,0.04,0.935
5611,0.209,0.04,0.931
5636,0.22,0.038,0.93
5656,0.225,0.038,0.936
5677,0.217,0.042,0.939
5701,0.216,0.045,0.923
5722,0.214,0.034,0.927
5742,0.219,0.038,0.927
5767,0.217,0.036,0.934
5787,0.222,0.041,0.926
5808,0.219,0.049,0.933
5832,0.22,0.043,0.929
5853,0.223,0.039,0.94
5874,0.22,0.041,0.941
5898,0.216,0.037,0.934
5918,0.221,0.04,0.928
5939,0.213,0.042,0.935
5963,0.218,0.054,0.94
5984,0.219,0.054,0.936
6004,0.219,0.046,0.931
6029,0.223,0.042,0.933
6049,0.222,0.039,0.938
6070,0.22,0.032,0.93
6094,0.218,0.05,0.934
6115,0.219,0.045,0.925
6135,0.221,0.048,0.938
6161,0.211,0.062,0.93
6180,0.226,0.037,0.924
6201,0.218,0.039,0.939
6226,0.223,0.044,0.937
6246,0.218,0.044,0.948
6266,0.226,0.041,0.948
6292,0.217,0.041,0.945
6312,0.219,0.047,0.934
6332,0.226,0.035,0.925
6357,0.23,0.047,0.928
6377,0.226,0.04,0.925
6398,0.226,0.043,0.935
6422,0.221,0.046,0.923
6443,0.231,0.044,0.925
6463,0.223,0.045,0.923
6488,0.227,0.039,0.93
