time_ms,ax,ay,az
14,0.349,0.19,0.879
35,0.347,0.191,0.896
55,0.343,0.192,0.871
80,0.351,0.188,0.887
100,0.347,0.189,0.891
125,0.349,0.195,0.892
145,0.348,0.2,0.88
170,0.35,0.199,0.89
191,0.354,0.197,0.882
215,0.35,0.208,0.872
236,0.35,0.199,0.88
260,0.348,0.189,0.887
280,0.353,0.194,0.884
305,0.349,0.199,0.883
326,0.348,0.195,0.882
350,0.353,0.201,0.886
371,0.345,0.194,0.879
395,0.346,0.2,0.874
416,0.346,0.199,0.879
440,0.347,0.194,0.89
462,0.358,0.194,0.888
485,0.353,0.198,0.885
506,0.344,0.201,0.881
530,0.348,0.197,0.88
551,0.348,0.199,0.886
576,0.354,0.198,0.877
596,0.352,0.196,0.886
621,0.35,0.203,0.884
641,0.345,0.197,0.879
665,0.354,0.202,0.886
686,0.348,0.196,0.881
711,0.348,0.194,0.875
731,0.348,0.199,0.879
756,0.353,0.201,0.879
776,0.355,0.193,0.88
800,0.349,0.197,0.89
822,0.349,0.201,0.884
846,0.352,0.197,0.883
866,0.356,0.198,0.885
887,0.344,0.201,0.871
912,0.349,0.201,0.885
932,0.348,0.2,0.864
956,0.351,0.197,0.879
977,0.351,0.199,0.882
1001,0.35,0.195,0.877
1022,0.351,0.198,0.882
1047,0.346,0.196,0.879
1067,0.351,0.193,0.887
1092,0.348,0.2,0.877
1112,0.349,0.2,0.881
1137,0.347,0.197,0.876
1158,0.352,0.2,0.878
1181,0.353,0.2,0.88
1202,0.351,0.198,0.872
1227,0.349,0.202,0.885
1247,0.35,0.196,0.883
1272,0.35,0.203,0.878
1292,0.348,0.197,0.884
1317,0.348,0.198,0.883
1337,0.345,0.203,0.891
1362,0.352,0.2,0.88
1382,0.356,0.195,0.877
1407,0.359,0.192,0.881
1427,0.343,0.19,0.889
1452,0.348,0.199,0.883
1473,0.351,0.204,0.893
1497,0.349,0.195,0.885
1517,0.35,0.195,0.881
1542,0.345,0.194,0.881
1563,0.353,0.203,0.88
1587,0.349,0.2,0.882
1607,0.351,0.198,0.879
1632,0.35,0.201,0.885
1652,0.349,0.198,0.882
1673,0.352,0.201,0.875
1697,0.341,0.194,0.892
1718,0.35,0.191,0.889
1743,0.351,0.198,0.887
1763,0.352,0.197,0.876
1788,0.355,0.2,0.881
1809,0.346,0.194,0.879
1833,0.348,0.198,0.884
1854,0.358,0.195,0.885
1878,0.348,0.194,0.883
1898,0.35,0.201,0.881
1923,0.345,0.197,0.88
1944,0.352,0.191,0.884
1968,0.352,0.2,0.884
1989,0.346,0.195,0.874
2013,0.35,0.198,0.878
2033,0.347,0.199,0.889
2058,0.348,0.193,0.88
2079,0.35,0.203,0.885
2103,0.355,0.201,0.88
