time_ms,ax,ay,az
2,0.208,0.038,0.935
8,0.208,0.042,0.941
14,0.187,0.06,0.926
19,0.214,0.047,0.93
25,0.214,0.047,0.927
31,0.201,0.049,0.937
37,0.209,0.047,0.936
43,0.209,0.053,0.92
49,0.206,0.041,0.938
54,0.206,0.049,0.944
60,0.167,0.039,1.014
66,0.205,0.046,0.932
72,0.209,0.048,0.938
77,0.208,0.043,0.93
83,0.198,0.04,0.945
89,0.206,0.037,0.929
95,0.207,0.049,0.932
100,0.206,0.049,0.934
117,0.204,0.046,0.934
138,0.203,0.041,0.93
162,0.207,0.039,0.932
183,0.215,0.04,0.937
207,0.206,0.041,0.936
228,0.2,0.047,0.931
252,0.199,0.042,0.932
273,0.206,0.044,0.942
297,0.201,0.042,0.933
318,0.228,0.021,0.94
342,0.189,0.064,0.912
363,0.227,0.031,0.94
383,0.192,0.061,0.935
408,0.209,0.041,0.937
428,0.213,0.039,0.933
453,0.203,0.044,0.926
473,0.212,0.048,0.94
498,0.207,0.049,0.928
518,0.218,0.034,0.951
543,0.203,0.04,0.932
564,0.207,0.044,0.94
588,0.201,0.041,0.936
609,0.212,0.043,0.935
633,0.211,0.039,0.925
654,0.21,0.049,0.945
678,0.202,0.039,0.929
699,0.213,0.042,0.943
723,0.21,0.027,0.965
744,0.205,0.054,0.91
768,0.216,0.029,0.953
789,0.204,0.041,0.939
813,0.201,0.051,0.934
834,0.187,0.054,0.928
858,0.208,0.044,0.929
879,0.205,0.039,0.945
903,0.208,0.043,0.931
924,0.2,0.052,0.929
948,0.208,0.044,0.933
969,0.204,0.043,0.926
993,0.201,0.046,0.928
1014,0.2,0.045,0.94
1039,0.249,-0.014,1.018
1059,0.201,0.043,0.937
1084,0.207,0.043,0.938
1104,0.206,0.048,0.934
1129,0.205,0.038,0.94
1149,0.206,0.044,0.932
1170,0.199,0.05,0.936
1194,0.203,0.05,0.936
1215,0.21,0.038,0.943
1239,0.205,0.047,0.934
1260,0.195,0.042,0.932
1284,0.2,0.043,0.932
1305,0.208,0.036,0.939
1330,0.204,0.04,0.936
1350,0.201,0.048,0.928
1375,0.208,0.044,0.935
1395,0.21,0.046,0.932
1420,0.198,0.041,0.946
1440,0.206,0.043,0.942
1465,0.201,0.04,0.932
1485,0.211,0.038,0.94
1510,0.205,0.045,0.922
1530,0.178,0.079,0.905
1555,0.199,0.045,0.949
1575,0.213,0.033,0.942
1600,0.197,0.042,0.943
1620,0.199,0.046,0.93
1645,0.202,0.044,0.938
1665,0.188,0.047,0.937
1690,0.202,0.048,0.925
1710,0.196,0.05,0.931
1735,0.204,0.044,0.943
