time_ms,ax,ay,az
14,0.394,0.238,0.853
38,0.397,0.236,0.858
59,0.397,0.237,0.85
84,0.398,0.244,0.85
104,0.393,0.239,0.854
129,0.397,0.236,0.853
149,0.397,0.238,0.854
174,0.403,0.242,0.854
194,0.397,0.243,0.848
219,0.397,0.236,0.855
240,0.388,0.242,0.858
264,0.396,0.244,0.857
284,0.392,0.242,0.846
309,0.398,0.245,0.856
329,0.398,0.238,0.852
353,0.394,0.241,0.849
374,0.394,0.236,0.852
398,0.396,0.24,0.852
419,0.391,0.235,0.85
444,0.392,0.236,0.864
464,0.396,0.241,0.854
489,0.397,0.236,0.851
509,0.393,0.244,0.856
534,0.387,0.238,0.85
554,0.396,0.24,0.856
579,0.401,0.236,0.854
599,0.392,0.24,0.854
624,0.393,0.237,0.866
644,0.394,0.233,0.85
669,0.395,0.237,0.856
690,0.396,0.239,0.854
714,0.394,0.242,0.849
735,0.396,0.236,0.852
759,0.392,0.239,0.858
780,0.393,0.241,0.857
804,0.397,0.239,0.852
825,0.393,0.24,0.858
845,0.397,0.231,0.85
870,0.393,0.232,0.843
890,0.397,0.235,0.86
915,0.395,0.241,0.855
935,0.398,0.239,0.861
960,0.395,0.241,0.847
980,0.4,0.239,0.854
1005,0.395,0.238,0.848
1029,0.393,0.24,0.856
1050,0.394,0.234,0.853
1074,0.391,0.245,0.863
1095,0.393,0.242,0.861
1119,0.396,0.234,0.844
1140,0.399,0.242,0.857
1165,0.395,0.241,0.852
1185,0.394,0.233,0.856
1210,0.393,0.236,0.856
1230,0.4,0.243,0.859
1254,0.392,0.237,0.86
1275,0.39,0.238,0.85
1300,0.393,0.24,0.853
1324,0.399,0.232,0.853
1345,0.389,0.241,0.855
1369,0.391,0.239,0.858
1390,0.394,0.233,0.856
1414,0.4,0.238,0.852
1435,0.393,0.235,0.854
1460,0.4,0.244,0.85
1480,0.388,0.237,0.862
1504,0.396,0.238,0.856
1525,0.393,0.237,0.851
1550,0.396,0.242,0.859
1570,0.398,0.24,0.861
1595,0.396,0.237,0.854
1615,0.394,0.245,0.859
1639,0.397,0.235,0.856
1660,0.401,0.235,0.847
1686,0.393,0.24,0.853
1705,0.395,0.241,0.847
1730,0.398,0.24,0.857
1750,0.4,0.233,0.851
1775,0.395,0.237,0.853
1796,0.398,0.238,0.86
1820,0.396,0.24,0.857
1841,0.395,0.247,0.857
1865,0.391,0.24,0.854
1890,0.393,0.239,0.854
1910,0.394,0.237,0.858
1934,0.404,0.237,0.855
1956,0.395,0.24,0.854
1980,0.396,0.235,0.852
2000,0.395,0.237,0.854
2020,0.388,0.241,0.857
2045,0.398,0.238,0.847
2066,0.4,0.235,0.853
2090,0.399,0.238,0.863
2111,0.399,0.239,0.853
2135,0.391,0.233,0.853
2157,0.393,0.238,0.857
2181,0.395,0.239,0.853
2201,0.391,0.24,0.864
2226,0.397,0.235,0.856
2246,0.399,0.241,0.853
2270,0.399,0.238,0.855
2291,0.393,0.237,0.861
2316,0.398,0.24,0.855
2336,0.398,0.241,0.846
2360,0.392,0.24,0.856
2381,0.39,0.243,0.847
2406,0.393,0.237,0.855
2426,0.395,0.234,0.859
2451,0.396,0.237,0.858
2471,0.398,0.239,0.858
2496,0.388,0.241,0.851
2520,0.393,0.245,0.859
2541,0.394,0.24,0.86
2565,0.4,0.235,0.855
2586,0.394,0.24,0.859
2610,0.392,0.241,0.842
2631,0.397,0.234,0.848
2655,0.398,0.234,0.858
2676,0.386,0.242,0.861
2700,0.399,0.238,0.855
2721,0.394,0.242,0.852
2746,0.402,0.231,0.862
2766,0.389,0.238,0.854
2791,0.397,0.24,0.85
2811,0.385,0.235,0.843
2835,0.393,0.239,0.856
2856,0.392,0.244,0.854
2881,0.393,0.235,0.849
2901,0.402,0.243,0.857
2926,0.398,0.236,0.861
2946,0.395,0.235,0.85
2971,0.396,0.244,0.857
2992,0.416,0.276,0.883
3016,0.402,0.232,0.865
3036,0.383,0.229,0.85
3061,0.394,0.234,0.843
3085,0.395,0.231,0.851
3106,0.4,0.24,0.84
3131,0.396,0.248,0.861
3151,0.395,0.237,0.855
3176,0.398,0.236,0.85
3196,0.394,0.239,0.854
3220,0.385,0.183,0.734
3241,0.405,0.345,0.93
3265,0.396,0.217,0.943
3286,0.383,0.169,0.886
3311,0.384,0.267,0.796
3331,0.384,0.247,0.845
3356,0.406,0.217,0.852
3376,0.55,0.812,1.188
3401,0.508,0.386,0.635
3421,0.509,0.736,1.069
3443,0.396,0.194,0.928
3467,0.394,0.295,0.889
3487,0.389,0.241,0.861
3512,0.397,0.219,0.879
3532,0.385,0.194,0.833
3557,0.4,0.259,0.846
3577,0.389,0.226,0.839
3602,0.4,0.219,0.864
3623,0.396,0.249,0.86
3647,0.38,0.226,0.847
3667,0.399,0.23,0.867
3692,0.397,0.239,0.854
3712,0.383,0.251,0.856
3737,0.399,0.23,0.853
3758,0.391,0.23,0.849
3782,0.387,0.234,0.866
3802,0.385,0.235,0.864
3827,0.392,0.241,0.867
3848,0.388,0.234,0.848
3872,0.396,0.24,0.849
