time_ms,ax,ay,az
9,0.402,0.21,0.858
34,0.396,0.218,0.866
54,0.406,0.209,0.86
78,0.402,0.214,0.867
99,0.403,0.213,0.863
124,0.395,0.216,0.857
145,0.401,0.22,0.861
169,0.393,0.214,0.86
189,0.397,0.216,0.858
214,0.4,0.214,0.861
234,0.395,0.211,0.865
258,0.403,0.214,0.855
279,0.397,0.213,0.86
304,0.401,0.215,0.862
324,0.398,0.219,0.868
348,0.404,0.212,0.862
370,0.398,0.213,0.857
394,0.404,0.214,0.855
414,0.401,0.215,0.865
435,0.404,0.221,0.866
459,0.397,0.219,0.852
480,0.391,0.219,0.849
504,0.405,0.215,0.867
525,0.393,0.217,0.865
549,0.401,0.213,0.855
570,0.401,0.206,0.859
595,0.399,0.212,0.861
615,0.394,0.215,0.862
640,0.398,0.214,0.858
660,0.4,0.216,0.854
684,0.395,0.212,0.865
705,0.4,0.214,0.86
730,0.396,0.21,0.866
750,0.393,0.204,0.856
775,0.398,0.208,0.856
795,0.398,0.216,0.865
820,0.393,0.212,0.855
840,0.402,0.217,0.857
865,0.401,0.213,0.857
885,0.399,0.213,0.858
910,0.398,0.209,0.866
930,0.399,0.208,0.859
955,0.397,0.217,0.858
979,0.4,0.211,0.858
1000,0.396,0.218,0.861
1020,0.396,0.217,0.854
1045,0.398,0.216,0.868
1066,0.388,0.176,0.838
1090,0.396,0.224,0.838
1111,0.393,0.241,0.876
1135,0.409,0.199,0.869
1155,0.396,0.212,0.856
1180,0.405,0.208,0.868
1200,0.398,0.212,0.854
1225,0.399,0.214,0.855
1246,0.402,0.227,0.866
1270,0.397,0.207,0.848
1291,0.419,0.174,0.829
1315,0.679,-0.164,0.805
1336,0.62,0.444,0.998
1361,-0.108,0.619,1.038
1381,0.608,0.053,0.8
1405,0.569,1.152,1.254
1426,0.569,0.019,0.972
1451,0.381,0.208,0.927
1471,0.381,0.212,0.819
1495,0.366,0.244,0.822
1516,0.448,0.117,0.949
1541,0.415,0.157,0.883
1561,0.379,0.209,0.845
1585,0.395,0.201,0.837
1606,0.425,0.153,0.899
1630,0.402,0.18,0.873
1651,0.394,0.196,0.844
1676,0.401,0.187,0.856
1696,0.418,0.169,0.878
1721,0.401,0.181,0.864
1745,0.402,0.187,0.856
1766,0.396,0.184,0.866
1787,0.402,0.174,0.877
1811,0.398,0.181,0.873
1831,0.398,0.187,0.86
1856,0.406,0.177,0.866
1877,0.411,0.182,0.873
1902,0.406,0.182,0.857
1922,0.403,0.192,0.861
1946,0.403,0.179,0.863
1968,0.401,0.182,0.864
1991,0.395,0.18,0.86
2012,0.4,0.185,0.86
2036,0.405,0.179,0.864
2057,0.404,0.179,0.865
2081,0.401,0.184,0.858
2102,0.402,0.176,0.861
2127,0.405,0.185,0.871
2147,0.405,0.177,0.865
2172,0.405,0.18,0.87
2196,0.396,0.184,0.866
2216,0.403,0.181,0.856
2241,0.405,0.179,0.869
2261,0.403,0.183,0.862
2286,0.408,0.18,0.865
2307,0.403,0.184,0.858
2331,0.404,0.182,0.866
2352,0.399,0.177,0.872
2376,0.404,0.182,0.86
2396,0.405,0.184,0.873
2421,0.397,0.182,0.868
2442,0.401,0.182,0.862
2462,0.403,0.185,0.869
2487,0.397,0.186,0.864
2508,0.406,0.186,0.866
2532,0.4,0.184,0.869
2552,0.401,0.178,0.861
2577,0.405,0.177,0.865
2597,0.408,0.185,0.872
2622,0.398,0.181,0.874
2642,0.408,0.173,0.863
2667,0.399,0.176,0.864
2687,0.4,0.187,0.868
2712,0.401,0.18,0.866
2732,0.401,0.184,0.855
2757,0.398,0.182,0.864
2778,0.406,0.183,0.866
2802,0.408,0.175,0.863
2823,0.407,0.182,0.869
2847,0.403,0.181,0.869
2867,0.4,0.18,0.865
2893,0.396,0.182,0.865
2913,0.406,0.184,0.865
2938,0.398,0.179,0.864
2962,0.405,0.18,0.868
2982,0.399,0.182,0.86
3003,0.404,0.187,0.849
3027,0.406,0.187,0.862
3048,0.403,0.184,0.868
3072,0.4,0.177,0.864
3093,0.402,0.183,0.866
3117,0.399,0.183,0.872
3138,0.405,0.185,0.867
3162,0.404,0.181,0.865
3183,0.406,0.181,0.863
3208,0.412,0.179,0.869
3228,0.395,0.18,0.87
3253,0.401,0.18,0.871
3273,0.407,0.181,0.87
3297,0.404,0.182,0.865
3318,0.402,0.178,0.873
3342,0.401,0.191,0.867
3363,0.402,0.185,0.869
3388,0.404,0.18,0.859
3408,0.402,0.175,0.862
3433,0.394,0.182,0.867
3453,0.401,0.185,0.863
3478,0.401,0.181,0.868
3503,0.398,0.185,0.862
3523,0.407,0.188,0.864
3547,0.403,0.182,0.869
3568,0.403,0.175,0.866
3593,0.406,0.179,0.865
3613,0.404,0.185,0.865
3638,0.407,0.177,0.859
3658,0.403,0.182,0.868
3679,0.406,0.179,0.871
3703,0.404,0.175,0.862
3723,0.407,0.17,0.868
3748,0.401,0.181,0.863
3769,0.401,0.181,0.861
3793,0.398,0.181,0.86
3814,0.405,0.185,0.866
3838,0.405,0.181,0.871
3859,0.405,0.185,0.865
3883,0.4,0.183,0.873
3904,0.397,0.185,0.87
3929,0.406,0.182,0.864
3949,0.402,0.178,0.86
3974,0.405,0.175,0.863
3994,0.397,0.183,0.863
4019,0.403,0.186,0.877
4039,0.403,0.185,0.86
4063,0.398,0.183,0.87
4088,0.41,0.178,0.857
4109,0.406,0.181,0.873
4133,0.403,0.182,0.865
4154,0.398,0.189,0.871
4178,0.398,0.179,0.871
4199,0.406,0.181,0.871
4219,0.404,0.184,0.864
4244,0.403,0.187,0.857
4264,0.398,0.177,0.867
4289,0.397,0.183,0.866
4309,0.403,0.178,0.864
4334,0.401,0.175,0.865
4355,0.405,0.179,0.862
4379,0.395,0.178,0.863
4399,0.403,0.181,0.856
4424,0.402,0.181,0.865
4445,0.405,0.178,0.865
4469,0.4,0.185,0.865
4490,0.398,0.182,0.869
4514,0.402,0.179,0.866
4539,0.4,0.179,0.87
4559,0.404,0.19,0.864
4584,0.401,0.182,0.864
4605,0.405,0.181,0.874
4629,0.399,0.186,0.87
4649,0.4,0.177,0.863
4674,0.402,0.183,0.869
4694,0.401,0.18,0.865
4719,0.403,0.179,0.871
4740,0.405,0.18,0.866
4764,0.405,0.183,0.863
4785,0.405,0.177,0.858
4809,0.406,0.182,0.866
4830,0.408,0.18,0.867
4850,0.399,0.179,0.862
4875,0.402,0.179,0.871
4895,0.395,0.183,0.861
4920,0.402,0.177,0.872
4940,0.406,0.181,0.866
4964,0.4,0.178,0.859
4989,0.396,0.18,0.857
5010,0.4,0.181,0.862
5035,0.4,0.182,0.868
5055,0.397,0.183,0.869
5079,0.397,0.182,0.873
5100,0.41,0.18,0.868
5124,0.403,0.177,0.872
5145,0.405,0.179,0.859
5169,0.404,0.187,0.865
5190,0.406,0.186,0.864
5214,0.403,0.186,0.863
5235,0.407,0.177,0.861
5260,0.401,0.183,0.862
5280,0.402,0.186,0.86
5301,0.409,0.181,0.864
5325,0.409,0.174,0.871
5345,0.401,0.179,0.863
5371,0.406,0.181,0.87
5391,0.405,0.182,0.87
5415,0.401,0.181,0.867
5436,0.407,0.176,0.868
5461,0.407,0.185,0.865
5481,0.401,0.18,0.857
5506,0.406,0.181,0.865
5526,0.4,0.181,0.862
5550,0.403,0.178,0.861
5571,0.401,0.184,0.866
5595,0.402,0.182,0.868
5616,0.401,0.184,0.857
5641,0.398,0.18,0.856
5661,0.403,0.186,0.87
5686,0.402,0.184,0.867
5706,0.405,0.173,0.868
5730,0.404,0.182,0.867
5751,0.397,0.182,0.873
5776,0.398,0.183,0.865
5796,0.406,0.185,0.874
5820,0.399,0.178,0.869
5841,0.403,0.177,0.867
5865,0.406,0.18,0.859
5887,0.407,0.183,0.859
5911,0.399,0.185,0.873
5934,0.403,0.176,0.867
5956,0.403,0.182,0.865
5976,0.406,0.186,0.859
6001,0.4,0.184,0.862
6022,0.402,0.182,0.87
6046,0.398,0.178,0.859
6066,0.406,0.178,0.865
6091,0.405,0.185,0.869
6112,0.401,0.181,0.859
6136,0.401,0.187,0.862
6156,0.402,0.181,0.871
6181,0.409,0.18,0.858
6202,0.406,0.178,0.862
6226,0.398,0.181,0.863
6247,0.401,0.18,0.866
6271,0.403,0.176,0.864
6292,0.408,0.183,0.873
6316,0.404,0.187,0.87
6337,0.404,0.178,0.86
6362,0.406,0.18,0.861
6382,0.399,0.178,0.866
6407,0.401,0.18,0.86
6427,0.408,0.181,0.856
6452,0.402,0.176,0.875
6472,0.402,0.175,0.857
6496,0.401,0.178,0.859
6517,0.4,0.18,0.861
6542,0.398,0.177,0.86
6562,0.4,0.176,0.854
6587,0.402,0.181,0.872
6607,0.403,0.181,0.861
6631,0.4,0.18,0.863
6652,0.4,0.187,0.86
6677,0.402,0.179,0.862
6697,0.401,0.183,0.871
6722,0.399,0.172,0.871
6742,0.399,0.179,0.869
6767,0.397,0.186,0.855
6787,0.409,0.182,0.866
6812,0.409,0.184,0.862
6832,0.408,0.18,0.856
6857,0.398,0.178,0.868
6878,0.397,0.183,0.866
6902,0.404,0.182,0.865
6923,0.407,0.182,0.861
6947,0.4,0.184,0.864
6967,0.404,0.182,0.868
6992,0.399,0.178,0.855
7013,0.407,0.181,0.86
7037,0.406,0.182,0.866
7058,0.406,0.176,0.862
7082,0.403,0.178,0.861
7103,0.4,0.187,0.856
7128,0.405,0.183,0.877
7147,0.407,0.181,0.861
7172,0.397,0.185,0.871
7193,0.406,0.181,0.866
7218,0.399,0.182,0.875
7238,0.406,0.174,0.867
7262,0.402,0.182,0.859
7283,0.4,0.179,0.859
7307,0.402,0.186,0.869
7328,0.4,0.179,0.865
7353,0.405,0.174,0.865
7373,0.402,0.184,0.869
7397,0.405,0.178,0.863
7418,0.4,0.178,0.866
7443,0.4,0.18,0.862
7463,0.405,0.179,0.866
7488,0.406,0.184,0.872
7508,0.396,0.177,0.847
7533,0.406,0.174,0.859
7554,0.398,0.18,0.862
7578,0.4,0.179,0.871
7598,0.405,0.182,0.865
7623,0.401,0.178,0.871
7643,0.4,0.178,0.871
7668,0.4,0.181,0.87
7688,0.399,0.179,0.857
7713,0.406,0.177,0.87
7734,0.403,0.182,0.871
7758,0.404,0.182,0.866
7779,0.403,0.181,0.871
7803,0.404,0.177,0.867
7824,0.404,0.181,0.865
7848,0.401,0.179,0.871
7869,0.396,0.182,0.861
7893,0.401,0.185,0.864
7914,0.401,0.176,0.859
7938,0.402,0.179,0.868
7959,0.408,0.181,0.862
7983,0.403,0.179,0.866
8004,0.399,0.181,0.86
8028,0.401,0.186,0.876
8049,0.406,0.182,0.859
8074,0.403,0.188,0.869
8094,0.403,0.188,0.868
8118,0.402,0.177,0.865
8139,0.398,0.178,0.862
8163,0.403,0.186,0.853
8184,0.398,0.189,0.857
8208,0.403,0.177,0.864
8229,0.402,0.179,0.868
8254,0.396,0.185,0.865
8274,0.399,0.179,0.866
8298,0.406,0.183,0.866
8319,0.399,0.178,0.868
8344,0.4,0.176,0.865
8364,0.403,0.185,0.864
8389,0.402,0.18,0.865
8409,0.403,0.178,0.868
8434,0.403,0.182,0.861
8454,0.395,0.182,0.869
8479,0.406,0.182,0.862
8499,0.398,0.185,0.863
8524,0.401,0.183,0.866
8544,0.401,0.182,0.866
8570,0.404,0.18,0.867
8590,0.4,0.184,0.86
8614,0.4,0.184,0.87
8635,0.4,0.176,0.867
8659,0.403,0.185,0.864
8680,0.4,0.177,0.865
8704,0.401,0.185,0.866
8725,0.399,0.178,0.859
8749,0.404,0.184,0.872
8770,0.396,0.177,0.874
8794,0.406,0.183,0.867
8814,0.402,0.179,0.867
8839,0.402,0.179,0.863
8860,0.404,0.184,0.862
8884,0.395,0.178,0.87
8905,0.402,0.178,0.867
8929,0.408,0.176,0.875
8951,0.398,0.183,0.859
8974,0.401,0.177,0.862
8995,0.406,0.176,0.865
9020,0.394,0.187,0.873
9040,0.408,0.172,0.863
9064,0.401,0.186,0.859
9085,0.406,0.186,0.867
9110,0.405,0.191,0.863
9130,0.406,0.176,0.86
9154,0.399,0.181,0.863
9176,0.409,0.171,0.865
9199,0.401,0.18,0.864
9221,0.411,0.174,0.858
9245,0.402,0.179,0.868
9265,0.401,0.184,0.871
9290,0.416,0.177,0.868
9311,0.409,0.173,0.87
9335,0.395,0.187,0.854
9356,0.417,0.177,0.849
9380,0.401,0.184,0.869
9401,0.402,0.181,0.862
9425,0.403,0.177,0.861
9446,0.409,0.182,0.872
9470,0.402,0.177,0.866
9491,0.404,0.185,0.845
9515,0.441,0.162,0.863
9536,0.398,0.175,0.86
9561,0.405,0.179,0.865
9580,0.34,0.115,0.889
9605,0.442,0.148,0.882
9626,0.388,0.204,0.856
9650,0.399,0.186,0.859
9671,0.431,0.157,0.884
9695,0.402,0.186,0.857
9716,0.389,0.179,0.878
9740,0.383,0.189,0.864
9761,0.427,0.169,0.859
9786,0.404,0.181,0.863
9806,0.411,0.176,0.862
9830,0.414,0.169,0.872
9851,0.412,0.167,0.874
9876,0.334,0.086,0.919
9897,0.325,0.055,0.896
9921,0.388,0.14,0.869
9945,0.419,0.185,0.825
9965,0.398,0.185,0.869
9990,0.429,0.146,0.884
10011,0.405,0.178,0.859
10035,0.403,0.198,0.842
10056,0.404,0.174,0.867
10080,0.408,0.166,0.871
10101,0.405,0.179,0.863
10125,0.394,0.188,0.849
10146,0.41,0.171,0.865
10170,0.412,0.168,0.862
10191,0.405,0.177,0.868
10215,0.405,0.176,0.858
10236,0.41,0.169,0.863
10260,0.409,0.169,0.873
10281,0.406,0.18,0.869
10302,0.396,0.188,0.866
10326,0.404,0.181,0.868
10346,0.407,0.178,0.865
10371,0.404,0.175,0.853
10391,0.413,0.165,0.866
10416,0.415,0.168,0.863
10437,0.415,0.172,0.862
10461,0.402,0.181,0.865
10482,0.403,0.176,0.865
10506,0.405,0.179,0.869
10527,0.407,0.179,0.861
10552,0.409,0.169,0.868
10573,0.412,0.175,0.871
10596,0.409,0.162,0.859
10617,0.414,0.176,0.871
10642,0.397,0.18,0.868
10662,0.412,0.175,0.869
