time_ms,ax,ay,az
11,0.185,0.049,0.947
31,0.186,0.047,0.942
56,0.19,0.05,0.935
76,0.188,0.048,0.929
101,0.188,0.042,0.929
122,0.18,0.048,0.945
146,0.187,0.045,0.933
166,0.189,0.047,0.941
191,0.192,0.042,0.939
212,0.182,0.045,0.938
236,0.19,0.044,0.933
256,0.193,0.042,0.935
281,0.181,0.041,0.939
301,0.189,0.034,0.953
326,0.186,0.046,0.933
346,0.187,0.046,0.945
371,0.189,0.047,0.936
391,0.184,0.044,0.946
416,0.192,0.042,0.944
437,0.189,0.041,0.937
461,0.191,0.052,0.917
482,0.185,0.049,0.925
506,0.187,0.04,0.933
527,0.186,0.053,0.929
551,0.182,0.038,0.948
572,0.183,0.037,0.95
597,0.179,0.04,0.945
617,0.191,0.032,0.941
641,0.185,0.039,0.944
662,0.186,0.045,0.942
687,0.189,0.041,0.934
708,0.184,0.045,0.948
731,0.184,0.048,0.947
752,0.183,0.042,0.946
773,0.183,0.043,0.93
797,0.181,0.041,0.94
818,0.19,0.047,0.947
842,0.19,0.046,0.942
862,0.184,0.04,0.939
887,0.179,0.041,0.935
908,0.186,0.048,0.937
932,0.187,0.037,0.942
953,0.184,0.051,0.936
977,0.183,0.044,0.938
998,0.186,0.045,0.938
1023,0.187,0.046,0.938
1043,0.184,0.042,0.941
1067,0.182,0.045,0.937
1088,0.182,0.041,0.933
1112,0.187,0.045,0.938
1133,0.191,0.047,0.938
1158,0.191,0.043,0.935
1178,0.19,0.048,0.94
1202,0.187,0.045,0.934
1224,0.185,0.039,0.942
1248,0.187,0.046,0.937
1268,0.191,0.031,0.948
1293,0.18,0.052,0.926
1317,0.182,0.048,0.939
1338,0.218,0.022,0.93
1362,0.177,0.051,0.943
1383,0.187,0.043,0.931
1407,0.186,0.042,0.937
1428,0.184,0.043,0.939
1452,0.183,0.046,0.938
1473,0.186,0.044,0.942
1497,0.185,0.046,0.939
1518,0.18,0.041,0.944
1543,0.185,0.047,0.936
1563,0.18,0.045,0.939
1588,0.186,0.043,0.94
1608,0.186,0.043,0.941
1633,0.184,0.044,0.946
1653,0.187,0.043,0.942
1678,0.183,0.042,0.941
1698,0.185,0.041,0.936
1723,0.185,0.039,0.931
1743,0.187,0.037,0.943
1768,0.182,0.04,0.94
1788,0.188,0.042,0.939
1813,0.182,0.038,0.943
1833,0.179,0.048,0.944
1858,0.186,0.043,0.942
1879,0.183,0.039,0.946
1903,0.187,0.044,0.935
1923,0.18,0.042,0.93
1948,0.184,0.046,0.945
1969,0.183,0.043,0.941
1993,0.182,0.045,0.934
2014,0.184,0.043,0.937
2038,0.187,0.045,0.938
2058,0.186,0.044,0.941
2079,0.182,0.05,0.936
2104,0.191,0.042,0.938
2124,0.183,0.042,0.938
2149,0.185,0.046,0.933
2169,0.185,0.043,0.935
2194,0.188,0.042,0.937
2214,0.181,0.041,0.931
2239,0.188,0.041,0.938
2259,0.184,0.04,0.945
2284,0.182,0.042,0.943
2305,0.183,0.042,0.945
2329,0.181,0.041,0.94
2349,0.187,0.049,0.941
2374,0.19,0.046,0.938
2394,0.186,0.041,0.944
2419,0.185,0.046,0.944
2440,0.187,0.041,0.939
2464,0.185,0.045,0.939
2485,0.184,0.043,0.938
2509,0.184,0.038,0.942
2530,0.19,0.041,0.944
2554,0.185,0.045,0.939
2575,0.188,0.046,0.939
2599,0.179,0.044,0.927
2620,0.182,0.037,0.937
2644,0.178,0.043,0.935
2665,0.184,0.041,0.938
2690,0.186,0.044,0.941
2710,0.18,0.043,0.933
2734,0.186,0.041,0.947
2755,0.186,0.043,0.942
2779,0.191,0.039,0.942
2800,0.185,0.037,0.945
2824,0.181,0.043,0.931
2845,0.185,0.037,0.926
2870,0.183,0.042,0.931
2890,0.186,0.039,0.937
2914,0.182,0.046,0.93
2935,0.187,0.042,0.942
2959,0.185,0.044,0.937
2980,0.182,0.043,0.945
3005,0.181,0.039,0.948
3025,0.179,0.04,0.938
3050,0.191,0.047,0.947
3070,0.185,0.042,0.939
3095,0.184,0.045,0.941
3120,0.182,0.044,0.938
3140,0.191,0.041,0.928
3164,0.182,0.05,0.933
3185,0.187,0.047,0.941
3209,0.187,0.044,0.931
3230,0.186,0.045,0.94
3254,0.181,0.048,0.941
3275,0.187,0.042,0.941
3299,0.188,0.041,0.931
3320,0.184,0.044,0.938
3345,0.186,0.045,0.932
3369,0.183,0.039,0.94
3390,0.181,0.041,0.947
3414,0.184,0.042,0.936
3435,0.177,0.048,0.942
3459,0.175,0.047,0.936
3480,0.179,0.048,0.945
3504,0.193,0.042,0.939
3525,0.185,0.043,0.941
3549,0.183,0.044,0.935
3570,0.188,0.037,0.937
3595,0.191,0.047,0.925
3619,0.179,0.036,0.97
