time_ms,ax,ay,az
1,0.24,0.048,0.911
25,0.246,0.037,0.915
46,0.226,0.041,0.941
67,0.212,0.043,0.93
91,0.216,0.034,0.96
111,0.21,0.063,0.933
136,0.378,-0.104,1.023
157,0.147,0.121,0.876
177,0.225,0.046,0.937
202,0.207,0.066,0.893
222,0.205,0.059,0.934
243,0.218,0.048,0.936
267,0.212,0.043,0.941
288,0.217,0.051,0.929
308,0.222,0.04,0.952
333,0.211,0.051,0.931
353,0.226,0.045,0.923
374,0.227,0.033,0.938
398,0.241,0.03,0.93
419,0.207,0.058,0.938
439,0.221,0.051,0.929
464,0.236,0.042,0.933
484,0.225,0.052,0.922
505,0.235,0.043,0.917
529,0.223,0.046,0.928
550,0.218,0.044,0.93
570,0.218,0.051,0.939
595,0.218,0.05,0.928
615,0.241,0.033,0.929
636,0.226,0.049,0.925
660,0.206,0.052,0.927
681,0.201,0.053,0.927
701,0.232,0.035,0.927
726,0.239,0.03,0.926
746,0.216,0.062,0.921
767,0.24,0.027,0.95
